iter	RMSE
0	11199.65615
1	9625.847675
2	8345.792232
3	7228.313268
4	6450.8251
5	5637.830715
6	5017.46077
7	4655.887259
8	4294.594594
9	3969.189851
10	3716.475317
11	3414.611049
12	3250.874828
13	3057.221464
14	2859.124125
15	2676.432047
16	2553.124502
17	2445.189713
18	2363.976923
19	2246.50947
20	2183.557816
21	2108.752876
22	2049.827951
23	2010.778822
24	1936.880126
25	1868.124114
26	1817.333355
27	1780.770072
28	1754.154469
29	1707.540407
30	1684.744484
31	1644.666098
32	1619.113879
33	1553.433912
34	1519.724491
35	1457.999863
36	1434.529388
37	1388.018863
38	1342.705654
39	1303.074269
40	1278.479765
41	1254.687071
42	1231.447011
43	1210.368807
44	1186.488928
45	1165.289314
46	1132.813463
47	1118.302611
48	1090.189489
49	1077.203921
50	1050.415355
51	1039.140332
52	1020.800064
53	999.9236199
54	987.379065
55	979.3011901
56	969.705053
57	953.2903131
58	940.0098299
59	916.0350847
60	904.5395764
61	895.4352597
62	880.7988457
63	869.9470021
64	861.455418
65	857.4435058
66	838.7685992
67	825.7293181
68	817.3856788
69	809.7834567
70	801.6905898
71	790.6379299
72	777.159123
73	760.0648519
74	751.2614613
75	741.1874142
76	738.9523591
77	735.7168295
78	729.3768612
79	717.1608276
80	715.136718
81	708.1553995
82	695.6023132
83	693.7471255
84	690.2093226
85	686.0839002
86	684.0870526
87	678.1677134
88	673.879529
89	666.9453015
90	662.4227409
91	652.3073037
92	648.5607972
93	646.4682346
94	642.1237159
95	635.9685322
96	632.6610777
97	626.8261091
98	625.540189
99	614.1038646
100	612.7881356
101	605.9384776
102	603.5675946
103	594.482261
104	590.1729342
105	584.351313
106	573.868972
107	571.4107911
108	567.8882252
109	561.4950441
110	555.1125814
111	553.4231656
112	551.9720904
113	545.2896034
114	544.2519922
115	541.3651174
116	539.4773123
117	535.9080973
118	528.572393
119	523.4276365
120	519.1483375
121	517.3958666
122	512.1810061
123	511.2114285
124	509.6580023
125	508.6776077
126	507.6518235
127	504.9306902
128	502.6134161
129	498.8914662
130	495.781402
131	494.5952758
132	491.7588837
133	489.0140335
134	482.8699009
135	478.1382828
136	477.3277581
137	475.5798439
138	473.3158832
139	472.4835667
140	468.4627627
141	465.2127665
142	463.0184874
143	459.8289331
144	457.6894585
145	450.2565653
146	448.4431625
147	446.4639036
148	445.4860938
149	439.6249123
150	437.1523695
151	435.8201703
152	431.2339448
153	427.9541195
154	426.6958257
155	425.4705582
156	424.8170523
157	422.6279513
158	416.7221046
159	412.8664694
160	409.4673193
161	408.8954053
162	404.6243801
163	403.8057249
164	401.2316666
165	400.3603242
166	398.7592312
167	394.8782128
168	392.882172
169	391.4207414
170	388.9997532
171	386.6018769
172	385.5330435
173	384.5032466
174	383.9248081
175	380.3235704
176	378.0913956
177	376.2201368
178	374.9799456
179	374.253679
180	372.1759397
181	367.5038649
182	365.9537271
183	363.6403912
184	361.5352566
185	360.745052
186	358.7679347
187	355.532882
188	353.8256187
189	353.0509675
190	352.2114821
191	350.936551
192	349.1336486
193	348.2519581
194	347.2817965
195	346.6009524
196	344.3498733
197	341.2394616
198	339.9636316
199	339.6051897
200	338.069109
201	336.7661159
202	335.5522624
203	333.6300398
204	330.7143616
205	328.293316
206	327.529857
207	326.8271081
208	324.7966786
209	324.2425536
210	322.1974887
211	321.6284352
212	319.9414983
213	316.8707149
214	316.3531076
215	315.1854019
216	313.7321221
217	311.4537632
218	308.3621516
219	307.8772607
220	307.2005056
221	305.9366651
222	303.5283956
223	303.047602
224	300.9625024
225	298.6334496
226	296.8004714
227	294.8205628
228	293.826182
229	293.1254862
230	292.1633987
231	290.9660491
232	288.2955124
233	287.9699065
234	286.9187842
235	285.2572063
236	284.1996199
237	283.2042632
238	282.6734968
239	279.3948608
240	276.464619
241	275.6386385
242	275.2942303
243	274.756067
244	274.4954426
245	273.2652175
246	272.3882099
247	271.3146669
248	270.7925609
249	270.5661059
250	268.2045508
251	267.6784481
252	266.8079148
253	265.7656828
254	265.4168367
255	264.2831166
256	264.0971756
257	263.0254604
258	261.063537
259	260.1670411
260	259.8655766
261	259.5402715
262	257.7772495
263	257.1129685
264	256.4521515
265	255.9745957
266	255.1565681
267	252.7333329
268	252.0256562
269	251.681539
270	251.217378
271	249.2935306
272	248.6352537
273	248.0807069
274	247.0457493
275	246.475938
276	244.8512293
277	242.3986158
278	242.100347
279	241.6748573
280	240.7945224
281	240.4784182
282	239.7846954
283	236.1719692
284	235.7443127
285	235.3681717
286	234.5411552
287	233.8860761
288	232.2816315
289	231.4645252
290	230.7874671
291	230.4488379
292	229.8471489
293	228.8116399
294	228.3698083
295	226.2177794
296	225.9816229
297	224.2063932
298	222.8439609
299	221.3605237
300	219.9514982
301	219.4660476
302	219.3492794
303	218.7378241
304	218.4010014
305	215.9846814
306	215.3298761
307	214.2554948
308	213.4617904
309	213.0714547
310	212.7815816
311	211.4389902
312	211.1160749
313	210.4627527
314	208.8611316
315	208.2778847
316	207.6576475
317	206.8790436
318	206.3603873
319	205.9349666
320	205.3076306
321	205.0327509
322	204.7545841
323	203.6808723
324	203.0810067
