iter	Passed	Remaining
0	159	798596
1	165	413801
2	171	285237
3	176	220400
4	181	181459
5	186	155615
6	192	137074
7	197	123136
8	202	112458
9	207	103785
10	213	96710
11	218	90880
12	223	85920
13	229	81634
14	234	78087
15	240	74848
16	245	72075
17	251	69539
18	256	67278
19	261	65223
20	267	63372
21	272	61719
22	278	60194
23	283	58773
24	288	57456
25	294	56305
26	299	55185
27	305	54182
28	310	53218
29	315	52313
30	321	51502
31	328	51013
32	334	50337
33	340	49693
34	345	49077
35	351	48492
36	357	47959
37	363	47439
38	369	46970
39	374	46465
40	380	45980
41	385	45529
42	391	45084
43	396	44656
44	402	44275
45	407	43895
46	413	43532
47	418	43217
48	424	42899
49	430	42582
50	435	42269
51	441	41974
52	447	41744
53	453	41530
54	458	41260
55	465	41053
56	470	40820
57	476	40572
58	482	40381
59	487	40178
60	493	39973
61	499	39763
62	504	39558
63	510	39348
64	515	39151
65	521	38975
66	526	38793
67	532	38615
68	537	38442
69	543	38280
70	549	38127
71	554	37973
72	560	37815
73	565	37655
74	571	37518
75	576	37374
76	582	37244
77	588	37105
78	593	36965
79	598	36832
80	604	36703
81	609	36585
82	615	36465
83	621	36344
84	626	36224
85	631	36109
86	637	35991
87	642	35878
88	648	35775
89	653	35671
90	659	35573
91	665	35529
92	672	35459
93	677	35366
94	683	35265
95	688	35169
96	693	35078
97	699	34988
98	705	34904
99	712	34892
100	718	34832
101	723	34761
102	729	34684
103	735	34608
104	740	34535
105	746	34462
106	752	34391
107	757	34316
108	763	34239
109	768	34177
110	774	34104
111	779	34032
112	785	33966
113	790	33898
114	796	33832
115	802	33787
116	807	33720
117	813	33658
118	819	33593
119	824	33532
120	830	33471
121	835	33409
122	841	33355
123	846	33297
124	852	33245
125	857	33186
126	863	33146
127	869	33091
128	875	33044
129	880	32991
130	886	32938
131	891	32882
132	897	32830
133	902	32777
134	908	32732
135	913	32679
136	919	32627
137	925	32590
138	931	32560
139	937	32527
140	942	32477
141	948	32433
142	953	32396
143	959	32351
144	964	32306
145	970	32272
146	976	32226
147	981	32185
148	987	32157
149	993	32138
150	999	32096
151	1004	32053
152	1010	32013
153	1016	31976
154	1021	31934
155	1027	31891
156	1032	31856
157	1038	31822
158	1043	31783
159	1049	31757
160	1055	31721
161	1060	31685
162	1066	31650
163	1072	31618
164	1077	31586
165	1083	31553
166	1089	31516
167	1095	31502
168	1104	31563
169	1112	31609
170	1121	31670
171	1129	31697
172	1137	31729
173	1145	31775
174	1153	31803
175	1161	31839
176	1168	31837
177	1175	31851
178	1183	31865
179	1190	31869
180	1198	31899
181	1205	31907
182	1212	31923
183	1219	31923
184	1227	31945
185	1236	32009
186	1244	32032
187	1252	32049
188	1259	32062
189	1266	32062
190	1273	32056
191	1280	32077
192	1287	32074
193	1293	32047
194	1299	32020
195	1305	31989
196	1311	31965
197	1317	31942
198	1322	31911
199	1328	31886
200	1334	31857
201	1339	31828
202	1345	31799
203	1351	31769
204	1357	31741
205	1362	31714
206	1368	31686
207	1374	31674
208	1381	31659
209	1386	31631
210	1393	31625
211	1400	31621
212	1405	31597
213	1411	31570
214	1417	31540
215	1423	31523
216	1429	31501
217	1434	31476
218	1440	31450
219	1446	31422
220	1451	31396
221	1457	31373
222	1463	31344
223	1468	31317
224	1474	31290
225	1480	31264
226	1487	31276
227	1493	31257
228	1499	31245
229	1506	31238
230	1512	31222
231	1518	31202
232	1523	31178
233	1529	31156
234	1535	31130
235	1540	31103
236	1546	31075
237	1551	31049
238	1557	31022
239	1562	30997
240	1568	30971
241	1574	30958
242	1580	30933
243	1585	30903
244	1591	30880
245	1596	30857
246	1602	30831
247	1607	30808
248	1613	30781
249	1618	30757
250	1624	30739
251	1630	30715
252	1635	30694
253	1641	30670
254	1646	30646
255	1652	30625
256	1658	30604
257	1663	30578
258	1669	30555
259	1674	30535
260	1680	30510
261	1685	30489
262	1691	30468
263	1697	30449
264	1703	30433
265	1709	30417
266	1714	30395
267	1720	30381
268	1726	30360
269	1731	30341
270	1737	30321
271	1743	30301
272	1748	30280
273	1754	30261
274	1760	30241
275	1765	30221
276	1771	30203
277	1777	30184
278	1782	30164
279	1788	30144
280	1793	30126
281	1799	30105
282	1804	30085
283	1810	30064
284	1815	30042
285	1821	30024
286	1827	30008
287	1833	29989
288	1838	29974
289	1844	29954
290	1850	29939
291	1855	29920
292	1861	29902
293	1867	29885
294	1874	29898
295	1880	29887
296	1886	29871
297	1892	29863
298	1898	29852
299	1904	29844
300	1911	29837
301	1919	29864
302	1925	29844
303	1931	29831
304	1936	29813
305	1942	29796
306	1948	29782
307	1953	29765
308	1959	29749
309	1965	29732
310	1971	29720
311	1976	29704
312	1982	29686
313	1988	29669
314	1993	29652
315	1999	29633
316	2004	29618
317	2011	29613
318	2017	29599
319	2022	29584
320	2028	29565
321	2033	29549
322	2039	29533
323	2045	29515
324	2050	29499
325	2056	29482
326	2061	29465
327	2067	29448
328	2073	29436
329	2078	29419
330	2084	29405
331	2090	29396
332	2096	29384
333	2102	29373
334	2108	29358
335	2113	29342
336	2119	29328
337	2125	29310
338	2130	29296
339	2136	29279
340	2141	29262
341	2147	29246
342	2152	29230
343	2158	29215
344	2164	29200
345	2169	29185
346	2175	29176
347	2181	29159
348	2187	29149
349	2193	29141
350	2199	29134
351	2205	29124
352	2212	29120
353	2218	29110
354	2224	29108
355	2230	29099
356	2236	29089
357	2242	29080
358	2248	29071
359	2255	29074
360	2263	29083
361	2269	29080
362	2276	29082
363	2284	29090
364	2291	29105
365	2300	29126
366	2307	29129
367	2313	29121
368	2319	29114
369	2325	29105
370	2332	29101
371	2339	29103
372	2345	29093
373	2352	29095
374	2358	29089
375	2365	29088
376	2371	29083
377	2378	29078
378	2384	29074
379	2391	29079
380	2398	29082
381	2407	29102
382	2413	29095
383	2420	29100
384	2429	29118
385	2436	29124
386	2444	29135
387	2450	29128
388	2456	29118
389	2463	29114
390	2471	29129
391	2478	29135
392	2485	29131
393	2492	29138
394	2499	29144
395	2506	29142
396	2513	29138
397	2520	29146
398	2529	29165
399	2536	29174
400	2543	29174
401	2550	29175
402	2557	29176
403	2564	29170
404	2571	29170
405	2577	29170
406	2584	29168
407	2591	29164
408	2598	29172
409	2608	29207
410	2616	29212
411	2623	29213
412	2629	29203
413	2635	29189
414	2640	29177
415	2649	29196
416	2656	29200
417	2663	29197
418	2670	29192
419	2676	29188
420	2682	29180
421	2689	29172
422	2695	29164
423	2701	29152
424	2706	29138
425	2712	29125
426	2718	29111
427	2724	29108
428	2731	29102
429	2737	29096
430	2743	29085
431	2749	29070
432	2755	29066
433	2762	29060
434	2768	29051
435	2774	29038
436	2779	29024
437	2785	29012
438	2791	28997
439	2796	28985
440	2802	28972
441	2808	28966
442	2814	28951
443	2820	28940
444	2826	28934
445	2833	28927
446	2838	28913
447	2844	28906
448	2850	28892
449	2856	28881
450	2861	28867
451	2867	28856
452	2874	28847
453	2879	28833
454	2885	28819
455	2891	28817
456	2898	28817
457	2906	28820
458	2913	28820
459	2920	28828
460	2927	28821
461	2933	28813
462	2939	28799
463	2944	28787
464	2950	28776
465	2956	28764
466	2962	28753
467	2969	28751
468	2975	28745
469	2981	28739
470	2988	28733
471	2994	28729
472	3000	28717
473	3006	28710
474	3012	28696
475	3017	28682
476	3023	28669
477	3030	28667
478	3038	28674
479	3044	28665
480	3050	28658
481	3057	28660
482	3064	28661
483	3071	28658
484	3077	28651
485	3083	28643
486	3089	28631
487	3096	28627
488	3102	28620
489	3108	28607
490	3113	28594
491	3119	28582
492	3125	28570
493	3130	28557
494	3136	28543
495	3142	28534
496	3148	28522
497	3153	28510
498	3159	28496
499	3165	28486
500	3172	28489
501	3179	28487
502	3185	28483
503	3193	28486
504	3199	28475
505	3204	28462
506	3210	28448
507	3215	28434
508	3221	28423
509	3227	28415
510	3234	28412
511	3240	28401
512	3245	28391
513	3251	28377
514	3257	28365
515	3262	28353
516	3268	28340
517	3274	28329
518	3280	28326
519	3286	28318
520	3292	28306
521	3298	28293
522	3303	28280
523	3309	28268
524	3314	28255
525	3320	28243
526	3326	28232
527	3333	28231
528	3340	28234
529	3348	28239
530	3355	28242
531	3361	28233
532	3367	28225
533	3374	28225
534	3381	28220
535	3387	28210
536	3396	28227
537	3402	28222
538	3408	28211
539	3415	28211
540	3423	28214
541	3429	28206
542	3435	28200
543	3442	28194
544	3448	28187
545	3454	28180
546	3460	28169
547	3465	28157
548	3471	28145
549	3477	28135
550	3483	28123
551	3488	28109
552	3493	28097
553	3499	28087
554	3505	28074
555	3511	28066
556	3518	28065
557	3525	28062
558	3531	28054
559	3537	28045
560	3544	28042
561	3549	28032
562	3555	28022
563	3561	28011
564	3566	27999
565	3572	27988
566	3578	27977
567	3584	27966
568	3590	27958
569	3596	27950
570	3601	27938
571	3608	27931
572	3614	27923
573	3619	27911
574	3625	27900
575	3631	27889
576	3636	27877
577	3642	27865
578	3648	27854
579	3653	27842
580	3659	27831
581	3664	27820
582	3670	27809
583	3676	27799
584	3682	27788
585	3688	27782
586	3694	27772
587	3699	27761
588	3705	27750
589	3711	27738
590	3716	27727
591	3722	27716
592	3727	27703
593	3733	27691
594	3739	27682
595	3744	27671
596	3750	27660
597	3756	27649
598	3761	27639
599	3767	27628
600	3773	27617
601	3778	27606
602	3784	27595
603	3790	27586
604	3795	27574
605	3802	27574
606	3809	27567
607	3814	27557
608	3821	27555
609	3829	27562
610	3836	27561
611	3844	27562
612	3850	27554
613	3856	27546
614	3862	27540
615	3868	27535
616	3876	27536
617	3883	27535
618	3889	27525
619	3895	27521
620	3902	27518
621	3908	27507
622	3914	27498
623	3919	27486
624	3925	27475
625	3931	27467
626	3937	27459
627	3942	27447
628	3948	27437
629	3954	27433
630	3960	27423
631	3966	27414
632	3972	27403
633	3979	27407
634	3985	27397
635	3991	27388
636	3997	27380
637	4003	27371
638	4009	27362
639	4014	27352
640	4020	27341
641	4026	27329
642	4031	27318
643	4037	27307
644	4043	27298
645	4049	27291
646	4055	27283
647	4061	27274
648	4066	27264
649	4072	27253
650	4078	27243
651	4084	27240
652	4090	27231
653	4096	27225
654	4103	27220
655	4109	27210
656	4114	27200
657	4120	27190
658	4126	27179
659	4131	27169
660	4137	27161
661	4143	27153
662	4153	27170
663	4159	27160
664	4164	27149
665	4170	27140
666	4177	27136
667	4185	27140
668	4194	27154
669	4200	27146
670	4206	27136
671	4212	27128
672	4218	27123
673	4225	27119
674	4232	27122
675	4240	27121
676	4247	27121
677	4253	27111
678	4258	27102
679	4265	27095
680	4270	27085
681	4276	27075
682	4282	27065
683	4287	27054
684	4293	27046
685	4299	27035
686	4304	27026
687	4310	27016
688	4316	27010
689	4324	27011
690	4329	27001
691	4336	26995
692	4342	26991
693	4348	26982
694	4354	26975
695	4360	26965
696	4366	26954
697	4372	26947
698	4378	26938
699	4384	26935
700	4390	26924
701	4396	26914
702	4401	26904
703	4407	26892
704	4412	26882
705	4418	26873
706	4423	26861
707	4429	26852
708	4435	26844
709	4441	26835
710	4447	26827
711	4453	26818
712	4458	26808
713	4464	26798
714	4469	26788
715	4475	26778
716	4481	26768
717	4486	26758
718	4492	26750
719	4498	26740
720	4503	26729
721	4509	26720
722	4515	26709
723	4520	26699
724	4526	26688
725	4531	26679
726	4537	26668
727	4543	26659
728	4548	26651
729	4555	26644
730	4561	26639
731	4567	26630
732	4589	26715
733	4594	26705
734	4600	26695
735	4606	26686
736	4611	26674
737	4617	26664
738	4622	26653
739	4628	26643
740	4633	26633
741	4639	26624
742	4645	26614
743	4650	26604
744	4656	26594
745	4662	26587
746	4671	26594
747	4678	26595
748	4685	26594
749	4692	26592
750	4698	26584
751	4704	26576
752	4710	26569
753	4717	26563
754	4723	26559
755	4729	26550
756	4735	26540
757	4741	26535
758	4747	26525
759	4753	26519
760	4759	26511
761	4765	26501
762	4770	26492
763	4776	26482
764	4782	26474
765	4788	26466
766	4794	26461
767	4800	26450
768	4806	26445
769	4812	26438
770	4818	26431
771	4824	26422
772	4830	26415
773	4836	26409
774	4842	26402
775	4848	26392
776	4854	26383
777	4860	26374
778	4866	26366
779	4871	26357
780	4877	26348
781	4883	26338
782	4888	26330
783	4894	26320
784	4900	26312
785	4906	26304
786	4912	26295
787	4918	26288
788	4924	26280
789	4929	26271
790	4935	26261
791	4941	26255
792	4947	26245
793	4952	26236
794	4960	26238
795	4966	26230
796	4973	26225
797	4979	26220
798	4986	26217
799	4993	26213
800	4998	26205
801	5004	26196
802	5010	26186
803	5015	26177
804	5021	26168
805	5027	26159
806	5033	26150
807	5038	26142
808	5044	26133
809	5050	26124
810	5055	26115
811	5061	26106
812	5067	26100
813	5074	26097
814	5080	26087
815	5086	26078
816	5091	26069
817	5097	26062
818	5104	26058
819	5110	26048
820	5115	26038
821	5121	26030
822	5127	26021
823	5133	26015
824	5139	26007
825	5145	25999
826	5150	25991
827	5156	25981
828	5162	25972
829	5167	25963
830	5173	25955
831	5179	25947
832	5185	25938
833	5190	25928
834	5196	25920
835	5202	25912
836	5208	25904
837	5214	25896
838	5219	25886
839	5225	25878
840	5231	25870
841	5236	25861
842	5242	25853
843	5248	25844
844	5254	25835
845	5259	25826
846	5265	25817
847	5271	25812
848	5277	25802
849	5282	25793
850	5288	25784
851	5294	25775
852	5299	25766
853	5305	25758
854	5311	25752
855	5317	25743
856	5323	25733
857	5329	25728
858	5335	25719
859	5341	25714
860	5348	25712
861	5354	25704
862	5360	25696
863	5366	25689
864	5372	25682
865	5378	25676
866	5384	25668
867	5390	25659
868	5395	25651
869	5401	25643
870	5407	25634
871	5412	25624
872	5418	25617
873	5424	25608
874	5430	25599
875	5435	25591
876	5441	25582
877	5447	25574
878	5453	25565
879	5458	25556
880	5464	25548
881	5470	25539
882	5475	25531
883	5481	25523
