iter	RMSE
0	13258.94817
1	13156.06438
2	13048.75082
3	12944.28633
4	12847.69867
5	12754.70909
6	12653.16813
7	12550.22166
8	12454.24691
9	12357.0753
10	12263.00279
11	12165.84824
12	12068.86974
13	11970.99965
14	11875.71272
15	11780.34626
16	11700.77521
17	11607.18998
18	11512.02156
19	11426.45015
20	11344.14054
21	11258.09148
22	11170.2776
23	11082.15188
24	10999.10876
25	10916.68606
26	10831.89427
27	10747.66615
28	10668.81214
29	10588.92037
30	10514.62303
31	10440.31334
32	10363.79629
33	10284.877
34	10206.71749
35	10127.34261
36	10053.30546
37	9975.419556
38	9899.848685
39	9825.588848
40	9749.066517
41	9675.885421
42	9607.510484
43	9540.216987
44	9476.537311
45	9408.083875
46	9336.156187
47	9272.033873
48	9196.366694
49	9130.502195
50	9062.999248
51	8994.775111
52	8929.570518
53	8866.067407
54	8807.079672
55	8744.203231
56	8684.576204
57	8620.934811
58	8558.947376
59	8497.600486
60	8437.70797
61	8375.670418
62	8315.124478
63	8254.940699
64	8194.822856
65	8139.770712
66	8083.990985
67	8028.995723
68	7979.699151
69	7922.883982
70	7868.086487
71	7810.268681
72	7754.855119
73	7701.772988
74	7648.677514
75	7600.448906
76	7546.03836
77	7494.40675
78	7445.663057
79	7399.937732
80	7349.478885
81	7298.25632
82	7254.484407
83	7207.228428
84	7159.508546
85	7111.955291
86	7065.977196
87	7017.498457
88	6969.955075
89	6927.414858
90	6881.307355
91	6835.392092
92	6793.144437
93	6749.907384
94	6707.920108
95	6664.664432
96	6617.982259
97	6582.787886
98	6541.434409
99	6501.880234
100	6460.252219
101	6423.173639
102	6382.89401
103	6344.303161
104	6299.969804
105	6258.855924
106	6215.364723
107	6170.510033
108	6128.602938
109	6089.41865
110	6055.129569
111	6016.593921
112	5977.451175
113	5939.376529
114	5897.752915
115	5861.132786
116	5823.064096
117	5787.479791
118	5753.811417
119	5719.072781
120	5682.369143
121	5647.710371
122	5613.118294
123	5579.965333
124	5548.066547
125	5516.513663
126	5486.321875
127	5449.416429
128	5412.162888
129	5383.156766
130	5348.717559
131	5320.070264
132	5285.12992
133	5255.791685
134	5223.650957
135	5191.473576
136	5162.776949
137	5131.831987
138	5103.590458
139	5072.666617
140	5046.338807
141	5015.858214
142	4988.199694
143	4957.563358
144	4928.926969
145	4897.863704
146	4867.094101
147	4841.371647
148	4820.291439
149	4794.111326
150	4768.075381
151	4741.668582
152	4715.522232
153	4685.804595
154	4662.999947
155	4635.88566
156	4611.349765
157	4589.726078
158	4566.816291
159	4541.209123
160	4516.74971
161	4494.183393
162	4468.931441
163	4447.39407
164	4426.305721
165	4405.925954
166	4385.591626
167	4365.469735
168	4341.856625
169	4318.043187
170	4292.734758
