iter	Passed	Remaining
0	2	2215
1	3	1944
2	6	2136
3	8	2151
4	10	2081
5	12	2026
6	13	1982
7	15	1954
8	17	1939
9	19	1913
10	21	1971
11	23	1968
12	25	1956
13	27	1960
14	29	1944
15	31	1925
16	33	1910
17	34	1897
18	43	2260
19	45	2231
20	47	2199
21	49	2185
22	50	2160
23	53	2190
24	55	2177
25	57	2156
26	59	2139
27	61	2118
28	62	2095
29	64	2077
30	65	2059
31	67	2052
32	70	2055
33	72	2047
34	73	2038
35	75	2025
36	77	2011
37	78	1998
38	80	1985
39	82	1975
40	88	2070
41	90	2063
42	92	2052
43	93	2039
44	95	2027
45	97	2016
46	98	2005
47	101	2013
48	103	2006
49	105	1996
50	106	1988
51	108	1979
52	110	1970
53	112	1962
54	113	1955
55	116	1963
56	118	1960
57	120	1952
58	122	1947
59	123	1941
60	125	1932
61	127	1922
62	128	1913
63	130	1906
64	132	1912
65	134	1910
66	137	1909
67	138	1903
68	140	1895
69	142	1887
70	143	1879
71	145	1871
72	147	1875
73	149	1875
74	151	1869
75	153	1864
76	154	1857
77	156	1849
78	158	1842
79	159	1835
80	161	1829
81	163	1827
82	165	1828
83	167	1824
84	168	1818
85	170	1812
86	172	1805
87	173	1797
88	175	1791
89	176	1784
90	178	1778
91	180	1779
92	181	1774
93	183	1770
94	185	1764
95	186	1758
96	188	1751
97	189	1744
98	191	1739
99	192	1733
100	193	1726
101	196	1726
102	198	1725
103	199	1720
104	201	1716
105	202	1710
106	204	1704
107	205	1698
108	207	1693
109	208	1688
110	210	1683
111	212	1684
112	214	1681
113	216	1678
114	217	1676
115	219	1673
116	221	1672
117	222	1666
118	224	1661
119	226	1657
120	228	1659
121	230	1655
122	231	1653
123	233	1650
124	235	1646
125	236	1643
126	238	1639
127	240	1636
128	241	1632
129	244	1634
130	246	1632
131	247	1630
132	249	1629
133	251	1626
134	253	1622
135	254	1617
136	256	1613
137	257	1608
138	259	1606
139	261	1605
140	263	1602
141	264	1601
142	266	1599
143	268	1595
144	269	1591
145	271	1588
146	272	1583
147	274	1580
148	276	1581
149	278	1579
150	280	1577
151	282	1575
152	283	1572
153	285	1567
154	286	1564
155	288	1560
156	289	1556
157	292	1556
158	293	1554
159	295	1552
160	297	1551
161	299	1549
162	301	1546
163	302	1542
164	304	1538
165	305	1535
166	307	1533
167	309	1533
168	311	1531
169	313	1529
170	314	1526
171	316	1523
172	317	1519
173	319	1515
174	320	1511
175	322	1508
176	324	1508
177	326	1506
178	328	1504
179	329	1502
180	331	1499
181	332	1495
182	334	1491
183	335	1488
184	337	1484
185	338	1481
186	340	1482
187	342	1480
188	344	1478
189	346	1476
190	347	1473
191	349	1470
192	350	1467
193	352	1463
194	353	1460
195	355	1458
196	357	1459
197	359	1457
198	361	1454
199	363	1452
200	364	1449
201	366	1446
202	367	1443
203	369	1440
204	370	1437
205	372	1436
206	374	1434
207	376	1432
208	377	1430
209	379	1427
210	381	1424
211	382	1422
212	384	1419
213	385	1416
214	387	1414
215	389	1413
216	391	1411
217	392	1409
218	394	1406
219	395	1403
220	397	1400
221	398	1398
222	400	1395
223	401	1392
224	403	1390
225	405	1389
226	407	1386
227	408	1384
228	410	1382
229	412	1379
230	413	1376
231	415	1374
232	416	1371
233	418	1368
234	419	1366
235	421	1365
236	423	1363
237	425	1360
238	426	1358
239	428	1355
240	429	1352
241	430	1349
242	432	1346
243	433	1343
244	435	1341
245	437	1340
246	439	1338
247	440	1335
248	442	1333
249	443	1330
250	445	1328
251	446	1325
252	447	1322
253	449	1320
254	450	1317
255	453	1317
256	454	1315
257	456	1313
258	458	1310
259	459	1308
260	461	1305
261	462	1302
262	464	1300
263	465	1297
264	466	1294
265	468	1293
266	470	1291
267	472	1289
268	473	1287
269	475	1284
270	476	1282
271	477	1279
272	479	1276
273	480	1274
274	482	1271
275	484	1269
276	485	1267
277	487	1265
278	488	1263
279	490	1260
280	491	1258
281	493	1255
282	494	1253
283	496	1250
284	497	1248
285	498	1245
286	500	1244
287	502	1242
288	504	1240
289	506	1239
290	507	1237
291	509	1234
292	510	1232
293	512	1230
294	513	1227
295	515	1225
296	517	1224
297	519	1222
298	520	1221
299	522	1219
300	524	1217
301	525	1214
302	527	1212
303	528	1210
304	530	1208
305	532	1206
306	534	1206
307	536	1204
308	537	1203
309	539	1201
310	541	1199
311	542	1197
312	544	1194
313	545	1192
314	547	1190
315	549	1189
316	551	1188
317	553	1186
318	555	1185
319	556	1183
320	558	1181
321	559	1179
322	561	1176
323	562	1174
324	564	1173
325	566	1172
326	568	1170
327	570	1168
328	571	1166
329	573	1164
330	574	1161
331	576	1159
332	577	1157
333	579	1155
334	581	1154
335	583	1152
336	584	1150
337	586	1148
338	588	1146
339	589	1144
340	591	1142
341	592	1139
342	593	1137
343	595	1135
344	597	1134
345	599	1132
346	600	1130
347	602	1129
348	604	1127
349	605	1125
350	607	1122
351	608	1120
352	610	1118
353	611	1116
354	613	1115
355	615	1113
356	616	1111
357	618	1109
358	620	1107
359	621	1105
360	623	1102
361	624	1100
362	625	1098
363	627	1096
364	629	1094
365	631	1093
366	632	1091
367	634	1089
368	636	1087
369	637	1085
370	639	1083
371	640	1081
372	641	1078
373	643	1076
374	644	1074
375	646	1073
376	648	1071
377	649	1069
378	651	1067
379	653	1065
380	654	1063
381	656	1061
382	657	1059
383	658	1057
384	660	1054
385	662	1053
386	663	1051
387	665	1049
388	667	1048
389	668	1046
390	670	1043
391	671	1041
392	673	1039
393	674	1037
394	676	1035
395	678	1034
396	680	1032
397	681	1031
398	683	1029
399	684	1027
400	686	1025
401	687	1023
402	689	1020
403	690	1018
404	692	1016
405	694	1015
406	695	1013
407	697	1011
408	699	1010
409	700	1008
410	701	1005
411	703	1003
412	704	1001
413	706	999
414	707	997
415	709	995
416	710	993
417	712	992
418	714	990
419	715	988
420	717	986
421	718	984
422	719	982
423	721	980
424	722	977
425	724	975
426	726	975
427	728	973
428	729	971
429	731	969
430	733	967
431	734	965
432	736	963
433	737	961
434	738	959
435	740	957
436	742	956
437	744	954
438	745	952
439	747	951
440	748	949
441	750	947
442	751	945
443	753	943
444	754	941
445	756	939
446	758	937
447	759	936
448	761	934
449	763	932
450	764	930
451	765	928
452	767	926
453	768	924
454	770	922
455	771	920
456	773	918
457	775	917
458	777	915
459	778	914
460	780	912
461	782	910
462	783	908
463	784	906
464	786	904
465	787	902
466	789	901
467	791	899
468	792	897
469	794	895
470	796	894
471	797	892
472	798	890
473	800	888
474	802	886
475	803	884
476	805	882
477	807	881
478	809	880
479	810	878
480	812	876
481	814	874
482	815	873
483	817	871
484	818	869
485	820	867
486	822	865
487	823	864
488	825	862
489	827	860
490	828	859
491	830	857
492	831	855
493	833	853
494	834	851
495	836	849
496	838	848
497	839	846
498	841	844
499	843	843
500	844	841
501	846	839
502	847	837
503	849	835
504	850	833
505	852	831
506	854	830
507	855	828
508	857	827
509	859	825
510	860	823
511	862	821
512	863	819
513	865	817
514	866	816
515	867	814
516	869	812
517	871	810
518	873	809
519	874	807
520	876	805
521	877	803
522	879	801
523	880	800
524	882	798
525	883	796
526	885	794
527	887	793
528	888	791
529	890	789
530	891	787
531	893	785
532	894	783
533	896	782
534	897	780
535	899	778
536	900	776
537	902	774
538	903	773
539	905	771
540	907	769
541	908	767
542	910	766
543	911	764
544	913	762
545	914	760
546	915	758
547	917	756
548	919	755
549	921	753
550	923	752
551	924	750
552	926	748
553	927	746
554	929	744
555	930	743
556	931	741
557	933	739
558	935	737
559	936	736
560	938	734
561	940	732
562	941	730
563	943	729
564	944	727
565	945	725
566	947	723
567	948	721
568	950	720
569	952	718
570	953	716
571	955	715
572	957	713
573	958	711
574	960	709
575	961	707
576	962	705
577	964	704
578	965	702
579	967	700
580	969	698
581	970	697
582	972	695
583	973	693
584	975	691
585	976	690
586	978	688
587	979	686
588	981	684
589	983	683
590	984	681
591	986	679
592	987	678
593	989	676
594	990	674
595	992	672
596	993	670
597	995	669
598	996	667
599	998	665
600	1000	663
601	1001	662
602	1003	660
603	1004	658
604	1006	657
605	1007	655
606	1009	653
607	1010	651
608	1012	649
609	1013	648
610	1032	657
611	1033	655
612	1035	653
613	1037	652
614	1038	650
615	1039	648
616	1041	646
617	1042	644
618	1044	642
619	1045	640
620	1047	639
621	1049	637
622	1050	635
623	1052	634
624	1054	632
625	1055	630
626	1057	628
627	1058	626
628	1059	625
629	1061	623
630	1062	621
631	1064	620
632	1066	618
633	1068	616
634	1069	614
635	1071	613
636	1072	611
637	1074	609
638	1075	607
639	1077	606
640	1079	604
641	1081	602
642	1082	601
643	1084	599
644	1086	597
645	1087	595
646	1088	594
647	1090	592
648	1091	590
649	1093	588
650	1094	586
651	1096	585
652	1098	583
653	1099	581
654	1101	580
655	1102	578
656	1103	576
657	1105	574
658	1106	572
659	1108	570
660	1109	569
661	1111	567
662	1113	565
663	1114	564
664	1116	562
665	1117	560
666	1119	558
667	1120	556
668	1122	555
669	1123	553
670	1124	551
671	1126	549
672	1128	548
673	1129	546
674	1131	544
675	1133	543
676	1134	541
677	1135	539
678	1137	537
679	1138	535
680	1140	534
681	1141	532
682	1143	530
683	1145	529
684	1146	527
685	1148	525
686	1149	523
687	1151	522
688	1152	520
689	1154	518
690	1155	516
691	1156	514
692	1158	513
693	1160	511
694	1161	509
695	1163	508
696	1165	506
697	1166	504
698	1167	502
699	1169	501
700	1170	499
701	1172	497
702	1173	495
703	1175	494
704	1177	492
705	1178	490
706	1180	489
707	1181	487
708	1182	485
709	1184	483
710	1185	481
711	1187	480
712	1188	478
713	1190	476
714	1192	475
715	1193	473
716	1195	471
717	1196	470
718	1198	468
719	1199	466
720	1201	464
721	1202	463
722	1204	461
723	1205	459
724	1207	457
725	1209	456
726	1210	454
727	1212	453
728	1214	451
729	1215	449
730	1216	447
731	1218	446
732	1219	444
733	1221	442
734	1222	440
735	1224	439
736	1226	437
737	1227	435
738	1229	434
739	1231	432
740	1232	430
741	1233	429
742	1235	427
743	1236	425
744	1238	423
745	1240	422
746	1241	420
747	1243	418
748	1244	417
749	1246	415
750	1247	413
751	1249	412
752	1250	410
753	1252	408
754	1253	406
755	1254	405
756	1257	403
757	1258	401
758	1260	400
759	1262	398
760	1263	396
761	1265	395
762	1266	393
763	1267	391
764	1269	389
765	1270	388
766	1272	386
767	1274	384
768	1275	383
769	1277	381
770	1278	379
771	1280	378
772	1281	376
773	1283	374
774	1284	372
775	1286	371
776	1287	369
777	1289	368
778	1291	366
779	1293	364
780	1294	363
781	1296	361
782	1297	359
783	1298	357
784	1300	356
785	1301	354
786	1303	352
787	1305	351
788	1306	349
789	1308	347
790	1310	346
791	1311	344
792	1313	342
793	1314	341
794	1315	339
795	1317	337
796	1318	335
797	1320	334
798	1322	332
799	1323	330
800	1325	329
801	1327	327
802	1328	325
803	1330	324
804	1331	322
805	1333	320
806	1334	319
807	1335	317
808	1337	315
809	1339	314
810	1340	312
811	1342	310
812	1344	309
813	1345	307
814	1346	305
815	1348	304
816	1349	302
817	1351	300
818	1353	299
819	1354	297
820	1356	295
821	1358	294
822	1359	292
823	1361	290
824	1362	289
825	1364	287
826	1365	285
827	1366	283
828	1368	282
829	1370	280
830	1371	279
831	1373	277
832	1375	275
833	1376	273
834	1377	272
835	1379	270
836	1380	268
837	1382	267
838	1383	265
